Source Title,Publisher,Year,OCLC Number
A Distant And Beautiful Place,University of Hawaii Press,2003,49795553
A Good Family,Dalkey Archive Press,2015,921994653
A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010,601086747
A Most Ambiguous Sunday And Other Stories,DALKEY ARCHIVE,2013,881470215
A Ready - Made Life,University of Hawaii Press,1998,45728179
A Respite And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Pace International Research",1983,11109528
A Sketch Of The Fading Sun,White Pine Press,1999,42291225
A Washed-Out Dream,Larchwood Publications Ltd.,1980,6491442
Anthology Of Korean Literary Vol.1,Dong-Suh Munhaksa,1988,1353814585
Anthology Of Korean Literary Vol.2,Dong-Suh Munhaksa,1988,1353815020
Anthology Of Korean Literary Vol.3,Dong-Suh Munhaksa,1988,1353815154
Arriving in a Thick Fog,Deep Vellum Publishing,2021,-
Asian And Pacific Short Stories,C. E. Tuttle Co.,1974,1032108
At Night He Lifts Weights,Transit Books,2023,1345221127
Beauty Looks Down On Me,Dalkey Archive Press,2017,954426806
Bluebeard's First Wife,Open Letter,2020,1195816841
Collected Short Stories From Korea V.1,Eomun-gag Publishing Company,1961,4228192
Cry Of The Harp,EastBridge,2005,73500548
Cursed Bunny,Algonquin Books,2022,1314429330
Cursed Bunny,Honford Star,2021,1259549842
Dead Silence And Other Stories Of The Jeju Massacre,EastBridge,2007,234075560
Dead Silence And Other Stories Of The Jeju Massacre,EastBridge,2006,70199924
Debasement And Other Stories,Fremont Publications,1983,29252260
Diary of a Murderer and Other Stories,Atlantic Books,2020,1127065678
Diary of a Murderer and Other Stories,Mariner Books,2019,1045485870
Diary Of A Vagabond,Codhill,2008,276931641
Dust And Other Stories,Columbia University Press,2018,1032379131
"Early Spring, Mid-Summer: And Other Korean Short Stories","Pace International Research, Inc./Si-sa-yong-o-sa publishers",1983,11186122
Evening Proposal,DALKEY ARCHIVE,2016,1096184791
Flowers Of Fire: Twentieth-Century Korean Stories,The University Press of Hawaii,1974,1124054
Flowers Of Mold: Stories,Open Letter,2019,1085967388
Gendered Landscapes: Short Fiction By Modern & Contemporary Korean Women Novelists,Cornell East Asia Series,2017,992783000
God Has No Grandchildren,Dalkey Archive Press,2015,919252630
Home-Coming And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,11089054
Hospital Room 205 And Other Korean Short Stories,Si-sa-yong-o-sa,1983,11089013
I am Waiting For You,Harper Voyager,2021,1164358272
I'm Waiting for You: And Other Stories,Harper Voyager,2021,1257839352
In The Depths,Hwimoon Publishing Company,1965,68450061
Journey To Mujin: Anthology Of Korean Short Fictions,The Korean Culture and Arts Foundation,1988,21240204
Korean Classical Literature: An Anthology,Kegan Paul International,1989,20689804
Korean Short Stories,Il Ji Sa,1975,2303011
Korean Short Stories: A Collection From North Korea,Fredonia Books,2003,853625984
Land Of Exile: Contemporary Korean Fiction,M.E. Sharpe,1993,28254886
Land Of Tears,Homa & Sekey Books,2018,1019834359
Loess Valley And Other Korean Short Stories: Modern Korean Short Stories,Si-sa-yong-o-sa,1983,11089059
Lonesome You,DALKEY ARCHIVE,2013,882106749
Lost Souls: Stories,Columbia University Press,2010,277118406
Love In Winter,Korea University Press,1963,1204493
Meetings And Farewells: Modern Korean Stories,University of Queensland Press,1980,6042736
Miss Kim Knows and Other Stories,Scribner UK,2023,1381786781
Modern Far Eastern Stories,Heinemann,1978,5053725
Modern Korean Fiction: An Anthology,Columbia University Press,2005,58051771
Modern Korean Literature: An Anthology 1908-1965,Kegan Paul International,1995,30069381
Modern Korean Short Stories And Plays,"Korean Centre, International P.E.N.",1970,148490
Modern Short Stories From Korea,Heinemann Educational Books,1980,8709587
Modern Short Stories From Korea,Munho-sa,1958,4466106
My Son's Girlfriend,DALKEY ARCHIVE,2013,882106786
My Very Last Possession And Other Stories,M.E. Sharpe,1999,44954471
Nobody Checks The Time When They are Happy,White Pine Press,2017,974698317
North Station,Open Letter,2017,974677765
On The Eve Of The Uprising And Other Stories From Colonial Korea,Cornell Univ. East Asia Program,2010,1252803947
On the Origin of Species and Other Stories,Kaya Press,2021,1159545583
One Human Family And Other Stories,White Pine Press,2008,154704551
Panmunjom And Other Stories,East Bridge,2005,56599813
Postwar Korean Short Stories,Seoul National University Press & The Center for Korean Studies at the University of Hawaii,1983,9308452
Questioning Minds: Short Stories By Modern Korean Women Writers,University of Hawaii Press,2010,671819994
Rat Fire: Korean Stories From The Japanese Empire,Cornell East Asia Series,2013,837137373
Reading Korea: 12 Contemporary Stories,ANVIL Publishing,2008,301486077
Readymade Bodhisattva: The Kaya Anthology Of South Korean Science Fiction,Kaya Press,2019,1028806592
Reflections On A Mask,Homa & Sekey,2002,50916855
Reunion So Far Away: A Collection Of Contemporary Korean Fiction,Korean National Commission for Unesco,1994,31626842
River Of Fire And Other Stories,Columbia University Press,2012,818856804
Seopyeonje: The Southerners' Songs,Peter Owen,2011,864900610
Shrapnel And Other Stories,White Pine Press,2002,50729306
Strength From Sorrow,Cross-Cultural Communications,2005,68051463
Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017,970396635
Sweet Potato: Collected Short Stories By Kim Tongin,Honford Star,2017,1011351953
Ten Korean Short Stories,Yonsei University Press,1981,9273898
The Accusation,Serpent's Tail,2017,959035947
The Age of Doubt,Honford Star,2022,1338661644
The Best Short Stories Of Yi Kwang-Su,DORRANCE,2016,945745693
The Book Of Masks: Stories,Readers International,1989,21561548
The Camellias,Jimoondang,2002,51902824
The Cozy Path,Stallion Press,2010,642802779
The Cruel City And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,10503998
The Cry Of The Harp And Other Korean Short Stories: The Best Korean Short Stories No. 2,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,10877460
The Dog Thief,Tamal Vista Publications,2005,68051383
The Drizzle And Other Korean Short Stories: Modern Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,11109414
The Dwarf,University of Hawaii Press,2006,647928273
The Future Of Silence: Fiction By Korean Women,Zephyr press,2016,936359241
The General's Beard,Homa & Sekey,2002,50915540
The Golden Phoenix: Seven Contemporary Korean Short Stories,Lynne Rienner Pub.,1999,39627650
The Good People,Heinemann Asia,1985,14158577
The Hermitage Of Flowing Water And Nine Others: Korean Literary World Series 2 - Short Stories,Gateway Press,1983,10725567
The House Of Twilight,Readers International,1989,19352175
The Penguin Book of Korean Short Stories,Penguin,2023,1380653560
The Preview And Other Stories,Asian Humanities Press,2003,52688046
The Prophet And Other Stories,Cornell Univ. East Asia Program,1999,41551481
The Rainy Spell And Other Korean Stories,M.E. Sharpe,1998,37663155
The Rainy Spell And Other Korean Stories,Onyx Press,1983,977860195
The Road To Sampo And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983,11573913
The Snowy Road And Other Stories,White Pine Press,1993,28120792
The Star And Other Korean Short Stories,Kegan Paul International,1996,33334908
The Stars And Other Korean Short Stories,Heinemann Asia,1980,8456685
The Underground Village,Honford Star,2018,1089684830
The Unenlightened And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers/Pace International Research, Inc.",1983,10949010
The Voice Of The Governor General And Other Stories Of Modern Korea,EastBridge,2002,49681187
